segment_id,celex,node_id,tipo,identificatore,llm_status,evidence,provisions_raw,lamf_L1,lamf_L2,lamf_L3,lamf_L4,entropy,dominant_lamf,articolo_id
32016R1013__1_p8,32016R1013,32016R1013,articolo,1_p8,ok,"[{""testo"": ""(a) balance of payments monthly statistics;"", ""layer"": ""L2"", ""motivo"": ""Specifies detailed data flow category for transmission""}]","[{""start"": 1, ""end"": 6, ""label"": ""level_2"", ""reason"": ""Specifies detailed data flow category for transmission""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p8
32016R1013__1_p7,32016R1013,32016R1013,articolo,1_p7,ok,"[{""testo"": ""1. The statistics to be produced shall be grouped for transmission to the Commission (Eurostat) in accordance with the following data"", ""layer"": ""L1"", ""motivo"": ""Defines scope and grouping of statistics for transmission""}]","[{""start"": 1, ""end"": 21, ""label"": ""level_1"", ""reason"": ""Defines scope and grouping of statistics for transmission""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p7
32016R1013__1_p6,32016R1013,32016R1013,articolo,1_p6,ok,"[{""testo"": ""5. Member States shall communicate to the Commission (Eurostat) any major methodological or other type of changes that would influence the data transmitted, no later than three months after any suc..."", ""layer"": ""L2"", ""motivo"": ""Specifies procedural rule and timeline for communicating methodological changes""}, {""testo"": ""The Commission shall notify the European Parliament and the other Member States of any such communication.’."", ""layer"": ""L2"", ""motivo"": ""Specifies procedural obligation for Commission to notify Parliament and Member States""}]","[{""start"": 1, ""end"": 34, ""label"": ""level_2"", ""reason"": ""Specifies procedural rule and timeline for communicating methodological changes""}, {""start"": 35, ""end"": 50, ""label"": ""level_2"", ""reason"": ""Specifies procedural obligation for Commission to notify Parliament and Member States""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p6
32016R1013__1_p9,32016R1013,32016R1013,articolo,1_p9,ok,"[{""testo"": ""(b) balance of payments quarterly statistics;"", ""layer"": ""L2"", ""motivo"": ""Specifies detailed data flow category for transmission""}]","[{""start"": 1, ""end"": 6, ""label"": ""level_2"", ""reason"": ""Specifies detailed data flow category for transmission""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p9
32016R1013__1_p10,32016R1013,32016R1013,articolo,1_p10,ok,"[{""testo"": ""(c) international trade in services;"", ""layer"": ""L1"", ""motivo"": ""Defines scope and subject matter of the statistics""}]","[{""start"": 1, ""end"": 5, ""label"": ""level_1"", ""reason"": ""Defines scope and subject matter of the statistics""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p10
32016R1013__1_p11,32016R1013,32016R1013,articolo,1_p11,ok,"[{""testo"": ""2. The Commission (Eurostat) and Member States, in cooperation with the relevant international partners, shall develop the appropriate methodology for compiling FDI statistics based on the ultimate..."", ""layer"": ""L2"", ""motivo"": ""Specifies detailed methodology development for compiling FDI statistics""}]","[{""start"": 1, ""end"": 44, ""label"": ""level_2"", ""reason"": ""Specifies detailed methodology development for compiling FDI statistics""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p11
32016R1013__1_p12,32016R1013,32016R1013,articolo,1_p12,ok,"[{""testo"": ""3. By 20 July 2018, the Commission (Eurostat) shall institute pilot studies to be carried out by Member States relating to annual FDI statistics based on the ultimate ownership concept and FDI stat..."", ""layer"": ""L2"", ""motivo"": ""Specifies procedural rule to institute pilot studies by a set date""}, {""testo"": ""purpose of such studies shall be to establish the conditions, including the methodological framework, to introduce new data collections on annual FDI statistics and to assess the costs of the relat..."", ""layer"": ""L2"", ""motivo"": ""Details purpose and conditions for pilot studies and data collection""}]","[{""start"": 1, ""end"": 40, ""label"": ""level_2"", ""reason"": ""Specifies procedural rule to institute pilot studies by a set date""}, {""start"": 41, ""end"": 83, ""label"": ""level_2"", ""reason"": ""Details purpose and conditions for pilot studies and data collection""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p12
32016R1013__1_p13,32016R1013,32016R1013,articolo,1_p13,ok,"[{""testo"": ""4. In order to facilitate carrying out the studies referred to in paragraph 3, the Union may provide"", ""layer"": ""L2"", ""motivo"": ""Specifies financial support procedure for pilot studies implementation""}, {""testo"": ""financial support to the Member States in the form of grants in accordance with Regulation (EU, Euratom) No 966/2012 of the European Parliament and of the Council ( *2 ) ."", ""layer"": ""L2"", ""motivo"": ""Defines form and legal basis of financial support grants""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_2"", ""reason"": ""Specifies financial support procedure for pilot studies implementation""}, {""start"": 19, ""end"": 49, ""label"": ""level_2"", ""reason"": ""Defines form and legal basis of financial support grants""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p13
32016R1013__1_p14,32016R1013,32016R1013,articolo,1_p14,ok,"[{""testo"": ""5. By 20 July 2019, the Commission (Eurostat) shall prepare a report on the findings of the studies"", ""layer"": ""L2"", ""motivo"": ""Specifies deadline and task to prepare report on study findings""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_2"", ""reason"": ""Specifies deadline and task to prepare report on study findings""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p14
32016R1013__1_p15,32016R1013,32016R1013,articolo,1_p15,ok,"[{""testo"": ""3. That report shall be forwarded to the European Parliament and to the Council and, if appropriate, shall"", ""layer"": ""L2"", ""motivo"": ""Specifies procedural requirement to forward report and identify conditions""}, {""testo"": ""identify the remaining conditions which need to be fulfilled in order to develop the methodology referred to in paragraph"", ""layer"": ""L2"", ""motivo"": ""Details operational conditions to develop methodology""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_2"", ""reason"": ""Specifies procedural requirement to forward report and identify conditions""}, {""start"": 19, ""end"": 37, ""label"": ""level_2"", ""reason"": ""Details operational conditions to develop methodology""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p15
32016R1013__1_p16,32016R1013,32016R1013,articolo,1_p16,ok,"[{""testo"": ""6. The Commission shall be empowered to adopt delegated acts in accordance with Article 10 in order to extend by 12 months the reporting deadline laid down in paragraph 5 of this Article where the ..."", ""layer"": ""L1"", ""motivo"": ""Delegation clause empowering Commission to adopt delegated acts""}, {""testo"": ""When exercising those powers, the Commission shall ensure that the delegated acts do not impose a significant additional burden on the Member States or on the respondents. Furthermore, the Commissi..."", ""layer"": ""L2"", ""motivo"": ""Operational requirements on exercising delegated powers and justification""}]","[{""start"": 1, ""end"": 56, ""label"": ""level_1"", ""reason"": ""Delegation clause empowering Commission to adopt delegated acts""}, {""start"": 57, ""end"": 120, ""label"": ""level_2"", ""reason"": ""Operational requirements on exercising delegated powers and justification""}]",46.67,53.33,0.0,0.0,0.49839902368927635,L2,1_p16
32016R1013__1_p18,32016R1013,32016R1013,articolo,1_p18,ok,"[{""testo"": ""1. The Commission (Eurostat) shall disseminate the European statistics produced pursuant to this Regulation, with a similar periodicity"", ""layer"": ""L2"", ""motivo"": ""Specifies dissemination periodicity and obligation to publish statistics""}, {""testo"": ""to that specified in Annex I. Those statistics shall be made available on the Commission (Eurostat) website."", ""layer"": ""L2"", ""motivo"": ""Specifies dissemination channel and obligation to make statistics available online""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_2"", ""reason"": ""Specifies dissemination periodicity and obligation to publish statistics""}, {""start"": 19, ""end"": 35, ""label"": ""level_2"", ""reason"": ""Specifies dissemination channel and obligation to make statistics available online""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p18
32016R1013__1_p19,32016R1013,32016R1013,articolo,1_p19,ok,"[{""testo"": ""2. In accordance with Article 18 of Regulation (EC) No 223/2009, and without prejudice to the protection of statistical confidentiality, Member States and the Commission (Eurostat) shall ensure the..."", ""layer"": ""L2"", ""motivo"": ""Specifies dissemination obligations and methodology reporting requirements""}, {""testo"": ""(5) Article 10 is replaced by the following: ‘Article 10 Exercise"", ""layer"": ""L1"", ""motivo"": ""Defines delegation of power to adopt delegated acts""}]","[{""start"": 1, ""end"": 48, ""label"": ""level_2"", ""reason"": ""Specifies dissemination obligations and methodology reporting requirements""}, {""start"": 49, ""end"": 59, ""label"": ""level_1"", ""reason"": ""Defines delegation of power to adopt delegated acts""}]",18.64,81.36,0.0,0.0,0.3469397471530198,L2,1_p19
32020R1298__2,32020R1298,32020R1298,articolo,2,ok,"[{""testo"": ""Article 2 This Regulation shall enter into force on the day following that of its publication in the Official Journal of the European Union . This Regulation shall be published in the Official Jour..."", ""layer"": ""L1"", ""motivo"": ""Defines entry into force and publication conditions, setting core legal effect""}]","[{""start"": 1, ""end"": 42, ""label"": ""level_1"", ""reason"": ""Defines entry into force and publication conditions, setting core legal effect""}]",100.0,0.0,0.0,0.0,0.0,L1,2
32016R1013__1_p20,32016R1013,32016R1013,articolo,1_p20,ok,"[{""testo"": ""1. The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article."", ""layer"": ""L1"", ""motivo"": ""Defines delegation of power to adopt delegated acts""}]","[{""start"": 1, ""end"": 21, ""label"": ""level_1"", ""reason"": ""Defines delegation of power to adopt delegated acts""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p20
32016R1013__1_p21,32016R1013,32016R1013,articolo,1_p21,ok,"[{""testo"": ""2. The power to adopt delegated acts referred to in Articles 2(3) and 5(6) shall be conferred on the Commission for a period of five years from"", ""layer"": ""L1"", ""motivo"": ""Defines delegation of power to Commission for a fixed period""}]","[{""start"": 1, ""end"": 27, ""label"": ""level_1"", ""reason"": ""Defines delegation of power to Commission for a fixed period""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p21
32016R1013__1_p22,32016R1013,32016R1013,articolo,1_p22,ok,"[{""testo"": ""2016. The Commission shall draw up a report in respect of the delegation of power not later than nine months before the end of the five-year period."", ""layer"": ""L1"", ""motivo"": ""Sets institutional role and obligation to report on delegation of power""}, {""testo"": ""The delegation of power shall be tacitly extended for periods of an identical duration, unless the European Parliament or the Council opposes such extension not later than three months before the e..."", ""layer"": ""L1"", ""motivo"": ""Defines conditions for extension and opposition of delegation of power""}]","[{""start"": 1, ""end"": 27, ""label"": ""level_1"", ""reason"": ""Sets institutional role and obligation to report on delegation of power""}, {""start"": 28, ""end"": 62, ""label"": ""level_1"", ""reason"": ""Defines conditions for extension and opposition of delegation of power""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p22
32016R1013__1_p23,32016R1013,32016R1013,articolo,1_p23,ok,"[{""testo"": ""3. The delegation of power referred to in Articles 2(3) and 5(6) may be revoked at any time"", ""layer"": ""L1"", ""motivo"": ""Defines revocation of delegated powers by Parliament or Council""}, {""testo"": ""by the European Parliament or by the Council. A decision to revoke shall put an end to"", ""layer"": ""L1"", ""motivo"": ""Sets effect and validity conditions of revocation decisions""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_1"", ""reason"": ""Defines revocation of delegated powers by Parliament or Council""}, {""start"": 19, ""end"": 35, ""label"": ""level_1"", ""reason"": ""Sets effect and validity conditions of revocation decisions""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p23
32016R1013__1_p24,32016R1013,32016R1013,articolo,1_p24,ok,"[{""testo"": ""4. Before adopting a delegated act, the Commission shall consult experts designated by each Member State in accordance with the principles laid down in the Interinstitutional Agreement of 13 April ..."", ""layer"": ""L2"", ""motivo"": ""Specifies procedural rule for consulting experts before adopting delegated acts""}]","[{""start"": 1, ""end"": 38, ""label"": ""level_2"", ""reason"": ""Specifies procedural rule for consulting experts before adopting delegated acts""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p24
32016R1013__1_p25,32016R1013,32016R1013,articolo,1_p25,ok,"[{""testo"": ""5. As soon as it adopts a delegated act, the Commission shall notify it simultaneously to the European Parliament and to the"", ""layer"": ""L2"", ""motivo"": ""Specifies procedural rule for notifying adoption of delegated acts""}]","[{""start"": 1, ""end"": 22, ""label"": ""level_2"", ""reason"": ""Specifies procedural rule for notifying adoption of delegated acts""}]",0.0,100.0,0.0,0.0,0.0,L2,1_p25
32016R1013__1_p27,32016R1013,32016R1013,articolo,1_p27,ok,"[{""testo"": ""1. The Commission shall be assisted by the European Statistical System Committee established by Regulation (EC) No 223/2009. That committee shall be a committee within the meaning of Regulation (EU..."", ""layer"": ""L1"", ""motivo"": ""Establishes institutional framework and committee role""}]","[{""start"": 1, ""end"": 44, ""label"": ""level_1"", ""reason"": ""Establishes institutional framework and committee role""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p27
32016R1013__1_p17,32016R1013,32016R1013,articolo,1_p17,ok,"[{""testo"": ""7. No later than 12 months after the date of issuing the report referred to in paragraph 5, the Commission shall, where appropriate, and depending in particular on the assessment by the Commission ..."", ""layer"": ""L2"", ""motivo"": ""Specifies procedural rules for proposing amendments and defining methodological requirements""}, {""testo"": ""( *2 ) Regulation (EU, Euratom) No 966/2012 of the European Parliament and of the Council of 25 October 2012 on the financial rules applicable to the general budget of the Union and repealing Counc..."", ""layer"": ""L2"", ""motivo"": ""References financial rules applicable to budget support for studies, operational detail""}, {""testo"": ""(4) Article 9 is replaced by the following: ‘Article"", ""layer"": ""L1"", ""motivo"": ""Introduces replacement of Article 9, indicating institutional amendment""}]","[{""start"": 1, ""end"": 82, ""label"": ""level_2"", ""reason"": ""Specifies procedural rules for proposing amendments and defining methodological requirements""}, {""start"": 83, ""end"": 130, ""label"": ""level_2"", ""reason"": ""References financial rules applicable to budget support for studies, operational detail""}, {""start"": 131, ""end"": 139, ""label"": ""level_1"", ""reason"": ""Introduces replacement of Article 9, indicating institutional amendment""}]",6.47,93.53,0.0,0.0,0.17291313951828755,L2,1_p17
32016R1013__1_p29,32016R1013,32016R1013,articolo,1_p29,ok,"[{""testo"": ""(a) evaluate the quality of data on balance of payments, international trade in services and FDI;"", ""layer"": ""L1"", ""motivo"": ""Defines objective to evaluate data quality on balance of payments and FDI""}]","[{""start"": 1, ""end"": 16, ""label"": ""level_1"", ""reason"": ""Defines objective to evaluate data quality on balance of payments and FDI""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p29
32016R1013__1_p26,32016R1013,32016R1013,articolo,1_p26,ok,"[{""testo"": ""6. A delegated act adopted pursuant to Articles 2(3) and 5(6) shall enter into force only if no objection has been expressed either by the European Parliament or by the Council within a period of t..."", ""layer"": ""L1"", ""motivo"": ""Defines conditions and institutional roles for delegated acts entering into force""}]","[{""start"": 1, ""end"": 93, ""label"": ""level_1"", ""reason"": ""Defines conditions and institutional roles for delegated acts entering into force""}, {""start"": 94, ""end"": 102, ""label"": ""unassigned"", ""reason"": ""Reference to official journal citation, not normative content""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p26
32016R1013__1_p28,32016R1013,32016R1013,articolo,1_p28,ok,"[{""testo"": ""2. Where reference is made to this paragraph, Article 5 of Regulation (EU) No 182/2011 shall apply. ("", ""layer"": ""L4"", ""motivo"": ""Specifies control mechanisms for Commission's implementing powers""}, {""testo"": ""*4 ) Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of..."", ""layer"": ""L1"", ""motivo"": ""Defines reporting obligations and institutional roles for implementation oversight""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_4"", ""reason"": ""Specifies control mechanisms for Commission's implementing powers""}, {""start"": 19, ""end"": 65, ""label"": ""level_1"", ""reason"": ""Defines reporting obligations and institutional roles for implementation oversight""}]",72.31,0.0,0.0,27.69,0.42559618833853907,L1,1_p28
32016R1013__1_p30,32016R1013,32016R1013,articolo,1_p30,ok,"[{""testo"": ""(b) assess the benefits accruing to the Union, the Member States and the providers and users of statistical information of the statistics produced in relation to the costs;"", ""layer"": ""L1"", ""motivo"": ""Defines general rights and obligations regarding benefits assessment""}, {""testo"": """", ""layer"": ""L1"", ""motivo"": ""Continues defining scope of benefits related to costs""}]","[{""start"": 1, ""end"": 28, ""label"": ""level_1"", ""reason"": ""Defines general rights and obligations regarding benefits assessment""}, {""start"": 29, ""end"": 35, ""label"": ""level_1"", ""reason"": ""Continues defining scope of benefits related to costs""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p30
32016R1013__2,32016R1013,32016R1013,articolo,2,ok,"[{""testo"": ""Article 2 This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union ."", ""layer"": ""L1"", ""motivo"": ""Defines entry into force date, establishing scope and temporal application""}]","[{""start"": 1, ""end"": 26, ""label"": ""level_1"", ""reason"": ""Defines entry into force date, establishing scope and temporal application""}]",100.0,0.0,0.0,0.0,0.0,L1,2
32016R1013__1_p31,32016R1013,32016R1013,articolo,1_p31,ok,"[{""testo"": ""(c) identify areas for potential improvement and amendments considered necessary in the light of the results obtained.’."", ""layer"": ""L1"", ""motivo"": ""Identifies areas for improvement and amendments; sets objectives""}, {""testo"": ""(8) The following article is inserted: ‘Article 12a Cooperation with other committees On all matters falling within the competence of the Committee on Monetary, Financial and Balance of Payments St..."", ""layer"": ""L4"", ""motivo"": ""Assigns obligation to request opinion from a committee (monitoring role)""}, {""testo"": ""(9) Annex I is amended in accordance with the Annex to this Regulation."", ""layer"": ""L2"", ""motivo"": ""Amends annex in accordance with annex to this Regulation""}]","[{""start"": 1, ""end"": 17, ""label"": ""level_1"", ""reason"": ""Identifies areas for improvement and amendments; sets objectives""}, {""start"": 18, ""end"": 99, ""label"": ""level_4"", ""reason"": ""Assigns obligation to request opinion from a committee (monitoring role)""}, {""start"": 100, ""end"": 112, ""label"": ""level_2"", ""reason"": ""Amends annex in accordance with annex to this Regulation""}]",15.18,11.61,0.0,73.21,0.5514465883591522,L4,1_p31
32020D1502__1_p2,32020D1502,32020D1502,articolo,1_p2,ok,"[{""testo"": ""1. This Decision lays down the rules to be followed by the Commission when informing the data subjects of the processing of their personal data in accordance with Articles 14, 15 and 16 of Regulati..."", ""layer"": ""L1"", ""motivo"": ""Defines scope and framework for Commission's information duties""}, {""testo"": ""It also lays down the conditions under which the Commission may restrict the application of Articles 4, 14 to 17, 19, 20 and 35 of Regulation (EU) 2018/1725, in accordance with Article 25(1)(a),(c)..."", ""layer"": ""L1"", ""motivo"": ""Sets conditions for restricting application of specific Articles""}]","[{""start"": 1, ""end"": 49, ""label"": ""level_1"", ""reason"": ""Defines scope and framework for Commission's information duties""}, {""start"": 50, ""end"": 83, ""label"": ""level_1"", ""reason"": ""Sets conditions for restricting application of specific Articles""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p2
32020D1502__1_p4,32020D1502,32020D1502,articolo,1_p4,ok,"[{""testo"": ""2. This Decision applies to the processing of personal data by the Commission for the purpose of, or in relation to, the activities carried out in order to fulfil the Commission’s tasks pursuant to..."", ""layer"": ""L1"", ""motivo"": ""Defines scope and purpose of processing by the Commission""}]","[{""start"": 1, ""end"": 35, ""label"": ""level_1"", ""reason"": ""Defines scope and purpose of processing by the Commission""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p4
32020D1502__1_p1,32020D1502,32020D1502,articolo,1_p1,ok,"[{""testo"": ""Article 1 Subject-matter and scope"", ""layer"": ""L1"", ""motivo"": ""Defines subject-matter, scope, and conditions for restrictions""}]","[{""start"": 1, ""end"": 35, ""label"": ""level_1"", ""reason"": ""Defines subject-matter, scope, and conditions for restrictions""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p1
32020D1502__2_p2,32020D1502,32020D1502,articolo,2_p2,ok,"[{""testo"": ""1. Where the Commission exercises its duties with respect to the data subjects’ rights under Regulation (EU) 2018/1725, it shall consider whether any of the exceptions laid down in that Regulation ..."", ""layer"": ""L1"", ""motivo"": ""Defines general obligation to consider exceptions under the Regulation""}]","[{""start"": 1, ""end"": 35, ""label"": ""level_1"", ""reason"": ""Defines general obligation to consider exceptions under the Regulation""}]",100.0,0.0,0.0,0.0,0.0,L1,2_p2
32020D1502__2_p1,32020D1502,32020D1502,articolo,2_p1,ok,"[{""testo"": ""Article 2 Applicable exceptions and restrictions"", ""layer"": ""L1"", ""motivo"": ""Defines scope of Commission duties regarding data subject rights""}, {""testo"": """", ""layer"": ""L2"", ""motivo"": ""Specifies consideration of exceptions under Regulation (EU) 2018/1725""}]","[{""start"": 1, ""end"": 6, ""label"": ""level_1"", ""reason"": ""Defines scope of Commission duties regarding data subject rights""}, {""start"": 7, ""end"": 18, ""label"": ""level_2"", ""reason"": ""Specifies consideration of exceptions under Regulation (EU) 2018/1725""}]",33.33,66.67,0.0,0.0,0.45913124711448416,L2,2_p1
